116th Bill Name,117th Bill Name,Short Title
116-HR846,117-HR79,Urging the people of the United States to observe the month of April of each year as Hazel M. Johnson Environmental Justice Month.
116-HB3798,117-HB239,Equal Access to Contraception for Veterans Act
116-HR238,117-HR237,Recognizing the cultural and historical significance of Nowruz.
116-HB6103,117-HB4807,Safe Stay Act
116-HB4888,117-HB1891,"To amend the Grand Ronde Reservation Act, and for other purposes."
116-HB4455,117-HB2815,BIOSIM Act Bolstering Innovative Options to Save Immediately on Medicines Act
116-HB8290,117-HB7620,Stop Sexual Harassment in K–12 Act
116-HB5153,117-HB2074,Indian Buffalo Management Act
116-HJR37,117-HJR87,Directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress.
116-HB5892,117-HB5308,Nutrition Education Act
116-HB1255,117-HB393,Federal Firefighter Pay Equity Act
116-HR828,117-HR295,Expressing the sense of the House of Representatives that the United States Trade Representative should promptly resume negotiations to conclude the Environmental Goods Agreement.
116-HB6864,117-HB2137,Jaime Zapata and Victor Avila Federal Law Enforcement Protection Act
116-HB7349,117-HB1038,Enhancing Administrative Reviews for Broadband Deployment Act
116-HB6765,117-HB5778,Security After Sandy Act
116-HB3538,117-HB3357,Rural Jobs Act
116-HB1473,117-HB4539,Focusing State Efforts to Expand Opportunity Act
116-HB90,117-HB64,Protection from Obamacare Mandates and Congressional Equity Act
116-HR876,117-HR172,"Expressing support for the designation of February 28, as ""Desert Storm Veterans Day""."
116-HR341,117-HR372,"Expressing support for the designation of May as ""National Bladder Cancer Awareness Month""."
116-HB7857,117-HB2977,CAN Act Connect America Now Act
116-HB3214,117-HB2814,Equal Access to Justice for Victims of Gun Violence Act
116-HB1908,117-HB2567,Master Sergeant Roddie Edmonds Congressional Gold Medal Act
116-HB8347,117-HB1279,Shell Company Abuse Act
116-HB1029,117-HB4719,Space Resources Institute Act
116-HB7389,117-HB2287,Freedom to Move Act
116-HB5248,117-HB3642,Harlem Hellfighters Congressional Gold Medal Act
116-HB3725,117-HB7495,Civil War Defenses of Washington National Historical Park Act
116-HB7272,117-HB4581,Mamie Till-Mobley Memorial Stamp Act
116-HB8293,117-HB3244,"Teacher, Principal, and Leader Residency Access Act"
116-HB1073,117-HB392,FAIR Act Federal Adjustment of Income Rates Act
116-HB5690,117-HB392,FAIR Act Federal Adjustment of Income Rates Act
116-HB8685,117-HB2834,Protecting Miranda Rights for Kids Act
116-HB7756,117-HB5502,"INFORM Consumers Act Integrity, Notification, and Fairness in Online Retail Marketplaces for Consumers Act"
116-HB8608,117-HB2906,Carrie’s Law
116-HB8339,117-HB691,Expanding Opportunity through Pre-Apprenticeships Act
116-HB1683,117-HB3455,No Stolen Trademarks Honored in America Act
116-HB2071,117-HB1691,Second Amendment Protection Act
116-HB4712,117-HB1629,Fairness in Orphan Drug Exclusivity Act
116-HB4438,117-HB2832,Don’t Tax Higher Education Act
116-HJR20,117-HJR69,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.
116-HB1979,117-HB404,Driftnet Modernization and Bycatch Reduction Act
116-HR38,117-HR871,Supporting the goals and ideals of Korean American Day.
116-HB7525,117-HB5997,Crack Down on Dark Money Act
116-HB5474,117-HB3176,Shawnee Wilderness Designation Act
116-HB7160,117-HB3376,Expanding Opportunities for Broadband Deployment Act
116-HB4232,117-HB1107,PLAN Act Protecting Local Authority and Neighborhoods Act
116-HB2421,117-HB2947,ALERT Act Accountability of Leaders in Education to Report Title IX Investigations Act
116-HB8626,117-HB448,Energy Resilient Communities Act
116-HB8839,117-HB668,Jobs Now Youth Employment Act
116-HB74,117-HB45,Grant’s Law
116-HB634,117-HB648,Ultrasound Informed Consent Act
116-HB4281,117-HB3643,ACE Veterans Act Access to Contraception Expansion for Veterans Act
116-HB315,117-HB1146,Community Reclamation Partnerships Act
116-HB6091,117-HB184,Federal Employee Combat Zone Tax Parity Act
116-HCR6,117-HCR69,Providing for a joint session of Congress to receive a message from the President.
116-HB8857,117-HB1151,CPR Fund Act Consumer Protection Relief Fund Act
116-HB6195,117-HB7251,"GIRLS STEM Act Getting Involved in Researching, Learning, and Studying of Science, Technology, Engineering, and Mathematics Act"
116-HB5533,117-HB445,For the relief of Yazmin Fabiola Juarez Coyoy.
116-HB2688,117-HB4344,Salad Bars in Schools Expansion Act
116-HB505,117-HB452,"CARE Act Certainty, Assistance, and Relief for Everyone Act"
116-HB3068,117-HB998,Offshore Wind Jobs and Opportunity Act
116-HB2356,117-HB1557,Sunshine Forever Act
116-HB6247,117-HB3199,Partnerships for American Jobs Act
116-HCR80,117-HCR73,"Recognizing the need to improve physical access to many federally funded facilities for all people of the United States, particularly people with disabilities."
116-HR805,117-HR647,Expressing the sense of the House of Representatives that the President and the Secretary of State should ensure that the Government of Canada does not permanently store nuclear waste in the Great Lakes Basin.
116-HB3518,117-HB412,To prohibit the payment of death gratuities to the surviving heirs of deceased Members of Congress.
116-HB7829,117-HB1404,"To redesignate the Federal building located at 935 Pennsylvania Avenue Northwest in the District of Columbia as the ""Federal Bureau of Investigation Building""."
116-HB5677,117-HB3439,Fair Credit Reporting for Servicemembers Act
116-HCR20,117-HCR33,Supporting the Local Radio Freedom Act.
116-HB8926,117-HB1845,American High-Speed Rail Act
116-HB3354,117-HB4646,Time for Completion Act
116-HB3382,117-HB1804,Community Cleanup Act
116-HB645,117-HB2301,Automatic Voter Registration Act
116-HB2178,117-HB3183,Metastatic Breast Cancer Access to Care Act
116-HB7880,117-HB561,Reopen Small Businesses Safely Act
116-HR529,117-HR1186,"Honoring the life of Petty Officer Raul Guerra of Montebello, California, who perished on October 8, 1967, during military operations off northern Vietnam, and the work of the Bring Raul Home Committee to have Petty Officer Raul Guerra's remains laid to rest in California."
116-HB8180,117-HB286,Managing Predators Act
116-HB740,117-HB625,Military Child Educational Freedom Act
116-HB4133,117-HB6163,Study on Improving Lands Act
116-HB3691,117-HB5574,"TRANSLATE Act TSA Reaching Across Nationalities, Societies, and Languages to Advance Traveler Education Act"
116-HB4433,117-HB4152,Appalachian Regional Energy Hub Initiative Act
116-HB5400,117-HB4124,National Biomedical Research Act
116-HB1744,117-HB2823,S.T.O.R.A.G.E. Act Storage Technology for Operational Readiness And Generating Energy Act
116-HB7595,117-HB654,Drug-Free Communities Pandemic Relief Act
116-HB7237,117-HB6533,Regional Clean Energy Innovation Act
116-HB7779,117-HB8721,"To designate the mountain at Mount Rushmore National Memorial, South Dakota, as Mount Rushmore, and for other purposes."
116-HB1785,117-HB2727,Future in Logging Careers Act
116-HR807,117-HR80,Recognizing the roles and the contributions of America's certified registered nurse anesthetists (CRNAs) and their role in providing quality health care for the public.
116-HR256,117-HR132,Recognizing people of African descent and Black Europeans.
116-HB8958,117-HB1350,Supporting Best Practices for Healthy Moms Act
116-HB8312,117-HB6168,Future Generations Protection Act
116-HR853,117-HR539,"Recognizing the maternal health crisis in the United States and the importance of reducing mortality and morbidity among all women, and honoring mothers."
116-HB2859,117-HB3835,PRIME Act Processing Revival and Intrastate Meat Exemption Act
116-HB4005,117-HB799,Tax Identity Protection Act
116-HB7917,117-HB3623,IGNITE American Innovation Act Innovation and Growth Now by Investing in Tomorrow’s Enterprises Act
116-HB359,117-HB2931,Enhancing Grid Security through Public-Private Partnerships Act
116-HR755,117-HR34,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors."
116-HR13,117-HR34,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors."
116-HB1380,117-HB263,Big Cat Public Safety Act
116-HB1796,117-HB1760,Carbon Capture Modernization Act
116-HB2534,117-HB2655,Insider Trading Prohibition Act
116-HB2642,117-HB999,Wild Olympics Wilderness and Wild and Scenic Rivers Act
116-HB5854,117-HB3789,Native Act to Transform Imagery in Various Environments
116-HB5693,117-HB5365,Primary Health Services Enhancement Act
116-HB8195,117-HB1960,"To name the Department of Veterans Affairs community-based outpatient clinic, located at 400 College Drive, Middleburg, Florida, the ""A.K. Baker VA Clinic""."
116-HB8943,117-HB2032,Pandemic Supplies Production Act
116-HJR53,117-HJR39,Proposing an amendment to the Constitution of the United States to require that the Supreme Court be composed of not more than nine justices.
116-HB2687,117-HB5744,Customer Non-Discrimination Act
116-HB5641,117-HB2205,Incentivizing Value Capture for Greener Transportation Act
116-HR1044,117-HR1220,Expressing support for the designation of Journeyman Lineworkers Recognition Day.
116-HB960,117-HB829,Empower our Girls Act
116-HB8687,117-HB326,Saving the Civil Service Act
116-HB3241,117-HB4856,Canadian Snowbird Visa Act
116-HB4027,117-HB8612,Stop the Censorship Act
116-HB2939,117-HB3618,State and Local General Sales Tax Protection Act
116-HB1985,117-HB833,Family Savings for Kids and Seniors Act
116-HR549,117-HR277,Reaffirming the commitment to media diversity and pledging to work with media entities and diverse stakeholders to develop common ground solutions to eliminate barriers to media diversity.
116-HR139,117-HR138,Supporting the goals and ideals of International Mother Language Day in bringing attention to the importance of preserving linguistic and cultural heritage through education.
116-HB8238,117-HB1625,AIM Act Agricultural Intelligence Measures Act
116-HB4375,117-HB4261,Pipeline Seismic Safety Study Act
116-HB375,117-HB4352,"To amend the Act of June 18, 1934, to reaffirm the authority of the Secretary of the Interior to take land into trust for Indian Tribes, and for other purposes."
116-HB3440,117-HB1802,Do Your Job Act
116-HB9056,117-HB1599,Securing America’s Critical Minerals Supply Act
116-HB1591,117-HB5893,21st Century STEM for Girls and Underrepresented Minorities Act
116-HB8765,117-HB1150,Modernizing America’s Apprenticeship Act
116-HJR8,117-HJR4,Proposing an amendment to the Constitution of the United States limiting the pardon power of the President.
116-HB2571,117-HB1275,National Right-to-Work Act
116-HB6788,117-HB2255,Healthcare Workforce Resilience Act
116-HB3418,117-HB4631,POST GRAD Act Protecting Our Students by Terminating Graduate Rates that Add to Debt Act
116-HB7739,117-HB5348,ESP Family Leave Act
116-HB612,117-HB760,Securing Our Borders and Wilderness Act
116-HR1030,117-HR298,Supporting the goals and ideals of National Public Health Week.
116-HR279,117-HR298,Supporting the goals and ideals of National Public Health Week.
116-HB2807,117-HB2232,Help Students Vote Act
116-HCR44,117-HCR72,"Directing the Joint Committee on the Library to revise the statue commemorating women's suffrage which is located in the rotunda of the United States Capitol, commonly known as the ""Portrait Monument"", by placing on the statue an inscription which is based on the original inscription which was on the statue when the statue was delivered to the United States Capitol in 1921, and for other purposes."
116-HB1308,117-HB2605,Let It Go Act
116-HB4080,117-HB130,Kimberly Vaughan Firearm Safe Storage Act
116-HB470,117-HB3414,"To repeal the mandatory flood insurance coverage requirement for commercial properties located in flood hazard areas, and for other purposes."
116-HB3337,117-HB4303,Labor Market Response Act
116-HB6046,117-HB3478,Castle Pines Community Act
116-HB4641,117-HB2398,Broadband Speed Act
116-HB3843,117-HB402,CROOK Act Countering Russian and Other Overseas Kleptocracy Act
116-HB2088,117-HB425,"To amend the Energy Independence and Security Act of 2007 to reauthorize the Energy Efficiency and Conservation Block Grant Program, and for other purposes."
116-HR96,117-HR74,Supporting the goals and ideals of Black History Month and honoring the outstanding contributions of African-American Congressional Medal of Honor recipients.
116-HB4255,117-HB6646,Trafficking Reduction And Criminal Enforcement (TRACE) Act
116-HB2831,117-HB2459,BUILDS Act Building U.S. Infrastructure by Leveraging Demands for Skills
116-HB2313,117-HB4647,Water Conservation Rebate Tax Parity Act
116-HB435,117-HB1576,National Gun Violence Research Act
116-HR109,117-HR332,Recognizing the duty of the Federal Government to create a Green New Deal.
116-HB6748,117-HB199,Direct Support for Communities Act
116-HB4858,117-HB3059,Ensuring Quality Care for Our Veterans Act
116-HB3094,117-HB49,"To designate the National Pulse Memorial located at 1912 South Orange Avenue, Orlando, Florida, 32806, and for other purposes."
116-HB7367,117-HB1156,Facilitating DIGITAL Applications Act Facilitating the Deployment of Infrastructure with Greater Internet Transactions And Legacy Applications Act
116-HB1592,117-HB9259,Cybersecurity Skills Integration Act
116-HB5145,117-HB1341,Promoting Women in Trucking Workforce Act
116-HB3688,117-HB232,Public Service Transparency Act
116-HB7369,117-HB1064,Cable Transparency Act
116-HB7274,117-HB486,Kobe Bryant & Gianna Bryant Helicopter Safety Act
116-HB8708,117-HB2920,American Families United Act
116-HB7842,117-HB1160,INFLUENCE Act Intelligence on Nefarious Foreign Leaders Using Education Networks for Corrupt Enrichment Act
116-HB3119,117-HB1731,BEST Act Biliteracy Education Seal and Teaching Act
116-HB8487,117-HB4266,Energy Poverty Prevention and Accountability Act
116-HB8063,117-HB3736,Installation Agreement Affordability Act
116-HB6032,117-HB2696,Transportation Workforce Centers of Excellence Act
116-HB1363,117-HB2388,"Honest Elections and Campaign, No Gain Act"
116-HB2219,117-HB2824,Mongolia Third Neighbor Trade Act
116-HB5496,117-HB6430,ICELAND Act Iceland Commercial and Economic Leadership for Arctic and National Development Act
116-HB8764,117-HB824,Stop China’s IP Theft Act
116-HB4609,117-HB7470,Veteran Service Equity Act
116-HB5299,117-HB3491,Stamp Out Lyme Disease Act
116-HB2418,117-HB8761,To add Ireland to the E-3 nonimmigrant visa program.
116-HB2877,117-HB8761,To add Ireland to the E-3 nonimmigrant visa program.
116-HB5231,117-HB463,Transportation Alternatives Enhancements Act
116-HR265,117-HR13,Commemorating the life and legacy of Sojourner Truth.
116-HB8692,117-HB2473,"To designate the facility of the United States Postal Service located at 275 Penn Avenue in Salem, Ohio, as the ""Howard Arthur Tibbs Post Office""."
116-HB5744,117-HB940,Clearing Lines along Electrical At-Risk Zones Act
116-HB7585,117-HB1117,Rosie the Riveter National Historic Site Expansion Act
116-HB1601,117-HB214,Daylight Act
116-HB5506,117-HB388,Hawaii Invasive Species Protection Act
116-HB1021,117-HB414,Public Service Integrity Act
116-HB783,117-HB1530,Lobbyist Loophole Closure Act
116-HB3647,117-HB1886,Impact Aid Infrastructure Act
116-HB4873,117-HB2838,Syrian Partner Protection Act
116-HR1136,117-HR1353,Recognizing Hispanic Heritage Month and celebrating the heritage and culture of Latinos in the United States and the immense contributions of Latinos to the United States.
116-HR561,117-HR1353,Recognizing Hispanic Heritage Month and celebrating the heritage and culture of Latinos in the United States and the immense contributions of Latinos to the United States.
116-HB1587,117-HB3043,Marijuana Data Collection Act
116-HB8187,117-HB9100,Protection and Advocacy in Education Act
116-HB8695,117-HB1584,Protecting Retirement Savers and Everyday Investors Act
116-HB4353,117-HB2648,Suicide Prevention Assistance Act
116-HB921,117-HB2603,To establish the policy of the United States regarding the no-first-use of nuclear weapons.
116-HB6051,117-HB2023,READ Act Reading Early and Addressing Dyslexia Act
116-HB1171,117-HB1813,FASTER Act Funding for Aviation Screeners and Threat Elimination Restoration Act
116-HB6540,117-HB3413,Agricultural Security Risk Review Act
116-HB130,117-HB80,John Tanner Fairness and Independence in Redistricting Act
116-HB124,117-HB80,John Tanner Fairness and Independence in Redistricting Act
116-HJR98,117-HJR19,Proposing an amendment to the Constitution of the United States to repeal the twenty-third article of amendment to the Constitution of the United States.
116-HB7223,117-HB947,RURAL Act Railway Upgrades for Rural American Lines Act
116-HCR100,117-HCR19,"Urging the establishment of a United States Commission on Truth, Racial Healing, and Transformation."
116-HR574,117-HR29,Supporting the teaching of climate change in schools.
116-HB3767,117-HB5850,Impacts and Outcomes for Health Career Training Act
116-HB4116,117-HB2280,Prevent Gun Trafficking Act
116-HB1247,117-HB4525,Supporting Work Through Apprenticeships Act
116-HB5822,117-HB367,Homeland Security Acquisition Professional Career Program Act
116-HB5053,117-HB961,Justice for Juveniles Act
116-HB7640,117-HB3940,Local Journalism Sustainability Act
116-HB6838,117-HB1377,Emergency Funding for Child Protection Act
116-HB5109,117-HB4925,F-AIR Act Fairness in Airspace Includes Residents Act
116-HB4469,117-HB2691,American Workforce Empowerment Act
116-HB1370,117-HB3087,Breast Cancer Patient Equity Act
116-HB1319,117-HB2218,Davis-Bacon Repeal Act
116-HR606,117-HR495,"Calling for sickle cell trait research, surveillance, and public education and awareness, and for other purposes."
116-HB5340,117-HB674,Hazel M. Johnson Congressional Gold Medal Act
116-HB1554,117-HB4122,REDI Act Resident Education Deferred Interest Act
116-HB4487,117-HB3829,CURD Act Codifying Useful Regulatory Definitions Act
116-HB7232,117-HB1320,Juneteenth National Independence Day Act
116-HB5343,117-HB673,Hazel M. Johnson Memorial Stamp Act
116-HB5804,117-HB2795,DHS Blue Campaign Enhancement Act
116-HB8684,117-HB6148,Alabama Underwater Forest National Marine Sanctuary and Protection Act
116-HB889,117-HB4175,United States and Republic of Korea Alliance Support Act
116-HB2525,117-HB2058,Steel Valley National Heritage Area Act
116-HB6556,117-HB623,Gabriella Miller Kids First Research Act 2.0
116-HB2171,117-HB1822,"To amend title 10, United States Code, to ensure that certain TRICARE beneficiaries who reside in Puerto Rico may enroll in TRICARE Prime, and for other purposes."
116-HB7983,117-HB1072,COVID–19 in Corrections Data Transparency Act
116-HB7482,117-HB4763,Future of Agricultural Resiliency And Modernization Act
116-HB6860,117-HB789,Aid and Attendance Support Act
116-HB6728,117-HB843,To amend the Commodity Credit Corporation Charter Act to raise the borrowing limit of the Commodity Credit Corporation.
116-HB7775,117-HB2746,"To amend title 28, United States Code, to redefine the eastern and middle judicial districts of North Carolina."
116-HB5473,117-HB4036,EASE Behavioral Health Services Act Enhance Access to Support Essential Behavioral Health Services Act
116-HB6026,117-HB1110,Civil Rights Legacy Protection Act
116-HR149,117-HR417,Recognizing the national debt as a threat to national security.
116-HB1501,117-HB1567,Police Officers Protecting Children Act
116-HB4395,117-HB7000,Clean Slate through Consolidation Act
116-HB5132,117-HB5764,Gun Violence Prevention Through Financial Intelligence Act
116-HB6856,117-HB4333,To amend the Internal Revenue Code of 1986 is amended to allow a deduction for investment advisory expenses of certain funeral and cemetery trusts during suspension of miscellaneous itemized deductions.
116-HB1105,117-HB273,Prevention of Escapement of Genetically Altered Salmon in the United States Act
116-HB5980,117-HB3327,No Congressionally Obligated Recurring Revenue Used as Pensions To Incarcerated Officials Now Act
116-HB7698,117-HB91,"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the ""Private First Class Barrett Lyle Austin Post Office Building""."
116-HB5237,117-HB4765,Purple Heart Flag Act
116-HB5043,117-HB3805,Millionaires Surtax Act
116-HB3990,117-HB3130,Operation Stonegarden Authorization Act
116-HB962,117-HB619,Born-Alive Abortion Survivors Protection Act
116-HB8568,117-HB828,PREPARE LTC Act Promoting Restoration of Emergency Preparedness and Advancing Response to Epidemics in Long-Term Care Act
116-HR959,117-HR1071,"Recognizing the roles and contributions of the teachers of the United States in building and enhancing the civic, cultural, and economic well-being of the United States."
116-HB7185,117-HB1265,Enhancing Protections for Whistleblower Anonymity Act
116-HB3283,117-HB4368,"To amend title 4, United States Code, to permit the flag of the United States to be flown at half-staff in the event of the death of the Mayor of the District of Columbia."
116-HB6720,117-HB2418,Student Loan Forgiveness for Frontline Health Workers Act
116-HB8974,117-HB5915,FHA Fairness Act
116-HR867,117-HR102,Expressing the sense of the House of Representatives regarding the 6888th Central Postal Directory Battalion and celebrating Black History Month.
116-HB1382,117-HB422,Inaugural Fund Integrity Act
116-HR278,117-HR411,Expressing the sense of the House of Representatives to recognize the crisis of violence against Native women.
116-HB4326,117-HB6420,Sex Trafficking Demand Reduction Act
116-HB882,117-HB7489,Time Off to Vote Act
116-HB8981,117-HB1235,Charlotte Woodward Organ Transplant Discrimination Prevention Act
116-HB8873,117-HB5953,Investing in VETS Act Investing in Veteran Entrepreneurial Talents Act
116-HB4574,117-HB2371,Veterans’ Right to Breathe Act
116-HB5708,117-HB1121,Empowering Immigration Courts Act
116-HB2049,117-HB193,Unaccompanied Alien Children Assistance Control Act
116-HB6116,117-HB4773,Consumer Financial Protection Commission Act
116-HB1055,117-HB556,"Global Health, Empowerment and Rights Act"
116-HR1066,117-HR552,Recognizing the importance of independent living for individuals with disabilities made possible by the Americans with Disabilities Act of 1990 and calling for further action to strengthen home and community living for individuals with disabilities.
116-HJR11,117-HJR8,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.
116-HR769,117-HR850,Expressing the sense of the House of Representatives that the symbols and traditions of Christmas should be protected for use by those who celebrate Christmas.
116-HB7200,117-HB336,TRUST in Congress Act Transparent Representation Upholding Service and Trust in Congress Act
116-HB7080,117-HB588,Stopping the Mental Health Pandemic Act
116-HCR42,117-HCR35,"Expressing the sense of Congress that all trade agreements the United States enters into, should provide reasonable access and collaboration of each nation involved in such an agreement, for the purpose of search and recovery activities relating to members of the United States Armed Forces missing in action from prior wars or military conflicts."
116-HB4420,117-HB2033,Timely Mental Health for Foster Youth Act
116-HB8703,117-HB967,Federal Skills Act
116-HB6689,117-HB2994,Accountability for Acting Officials Act
116-HR174,117-HR682,Recognizing the self-determination of Gibraltar to determine its status as a British Overseas Territory.
116-HB8042,117-HB4456,Helping America’s Farmers Act
116-HB5350,117-HB3393,Diversify Act Diversifying by Investing in Educators and Students to Improve Outcomes For Youth Act
116-HB2133,117-HB6191,To provide for interim appropriations for the District of Columbia courts and related agencies with respect to any fiscal year for which appropriations are not otherwise provided for such courts and agencies.
116-HB3013,117-HB357,"To direct Federal departments and agencies to verify eligibility for Federal benefits for individuals 105 years of age or older, and for other purposes."
116-HB6158,117-HB1204,District of Columbia Chief Financial Officer Salary Home Rule Act
116-HB2350,117-HB707,Ghost Army Congressional Gold Medal Act
116-HB3344,117-HB2701,Opportunities to Support Mothers and Deliver Children Act
116-HR54,117-HR114,Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of its 6-day mail delivery service.
116-HB8609,117-HB5494,Protect Peaceful Protests Act
116-HR1220,117-HR817,"Expressing support for the goals of National Adoption Month and National Adoption Day by promoting national awareness of adoption and the children waiting for adoption, celebrating children and families involved in adoption, and encouraging the people of the United States to secure safety, permanency, and well-being for all children."
116-HR704,117-HR817,"Expressing support for the goals of National Adoption Month and National Adoption Day by promoting national awareness of adoption and the children waiting for adoption, celebrating children and families involved in adoption, and encouraging the people of the United States to secure safety, permanency, and well-being for all children."
116-HB6676,117-HB4285,COMMUNITIES Act Creation of Opportunities for Medical Manpower in Underserved Neighborhoods by Indemnifying Tuition and Incentivizing Exceptional Service Act
116-HB4290,117-HB3405,"To direct the Secretary of Veterans Affairs to designate a week as ""Battle Buddy Check Week"" for the purpose of outreach and education concerning peer wellness checks for veterans, and for other purposes."
116-HB3819,117-HB3956,Climate and Health Protection Act
116-HB8523,117-HB838,Supporting Children with Disabilities During COVID–19 Act
116-HB463,117-HB2214,Military Retiree Survivor Comfort Act
116-HR275,117-HR285,"Supporting the goals and ideals of ""Financial Literacy Month""."
116-HB1413,117-HB4544,WORK Act Workforce Opportunity Realignment Kickstart Act
116-HB5434,117-HB3281,RPM Act of 2019 Recognizing the Protection of Motorsports Act of 2019
116-HB4451,117-HB6596,S.O.S. Veterans Caregivers Act Support Our Services to Veterans Caregivers Act
116-HB3341,117-HB4051,Opioid Treatment Providers Act
116-HB5521,117-HB7387,"To amend title 40, United States Code, to permit commercial filmmaking and photography on the United States Capitol grounds, and for other purposes."
116-HB1896,117-HB5210,Supporting Children of the National Guard and Reserve Act
116-HB5303,117-HB479,California Central Coast Conservation Act
116-HB4677,117-HB5990,Dual Credit Innovation Act
116-HB2885,117-HB183,Veterans Collaboration Act
116-HR236,117-HR513,Expressing the sense of the House of Representatives that welfare programs discourage marriage and hurt the institution of the family in the United States.
116-HB7354,117-HB5093,Wind River Administrative Site Conveyance Act
116-HR1246,117-HR143,Expressing the sense of the House of Representatives regarding United States policy recognizing the Semele Massacre of 1933.
116-HB8910,117-HB2756,CALL Act Conservation for Agricultural Leased Land Act
116-HB5408,117-HB496,Ukraine Religious Freedom Support Act
116-HB3932,117-HB3452,Veterans Preventive Health Coverage Fairness Act
116-HB3160,117-HB478,Blackwater Trading Post Land Transfer Act
116-HB2884,117-HB182,Veteran’s Choice Accountability Act
116-HB3444,117-HB4379,School Food Modernization Act
116-HB8909,117-HB2757,Climate Agricultural Conservation Practices Act
116-HB1114,117-HB881,To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.
116-HB2107,117-HB7040,Affordable College Textbook Act
116-HB7860,117-HB1194,Expanding Access to Emergency Meals Act
116-HB5419,117-HB5704,Gig Is Up Act
116-HR1223,117-HR1504,Supporting the goals of World AIDS Day.
116-HR272,117-HR284,Affirming that all men and women are created equal.
116-HB186,117-HB5354,Veterans Jobs Opportunity Act
116-HB902,117-HB6128,Protect American IPR Act
116-HB981,117-HB614,Put School Counselors Where They’re Needed Act
116-HB599,117-HB244,Executive Branch Conflict of Interest Act
116-HB6759,117-HB244,Executive Branch Conflict of Interest Act
116-HB7400,117-HB751,Protecting American Energy Production Act
116-HB193,117-HB1252,Improving Embassy Design and Security Act
116-HB891,117-HB4050,Nuclear Family Priority Act
116-HB8055,117-HB3795,STEM Educator Awards Equity Act
116-HJR7,117-HJR14,Proposing an amendment to the Constitution of the United States to abolish the electoral college and to provide for the direct election of the President and Vice President of the United States.
116-HB7624,117-HB5211,To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide that COPS grant funds may be used for local law enforcement recruits to attend schools or academies if the recruits agree to serve in precincts of law enforcement agencies in their communities.
116-HB8766,117-HB585,Apprenticeship Program National Scorecard Act
116-HB2895,117-HB3541,Conrad State 30 and Physician Access Reauthorization Act
116-HB4969,117-HB5929,Las Cruces Bataan Memorial Clinic Act
116-HB805,117-HB6606,Robo COP Act Robo Calls Off Phones Act
116-HB4456,117-HB3957,Enhancing Detection of Human Trafficking Act
116-HR755,117-HR24,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors."
116-HR13,117-HR24,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors."
116-HB8924,117-HB2215,"Our Homes, Our Votes Act"
116-HB5862,117-HB643,Stop Greenlighting Driver Licenses for Illegal Immigrants Act
116-HB1045,117-HB1340,Immigrant Detainee Legal Rights Act
116-HB2749,117-HB4841,Restoring Justice for Workers Act
116-HJR52,117-HJR43,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.
116-HJR95,117-HJR43,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.
116-HB7784,117-HB2429,VA Police Improvement and Accountability Act
116-HB7171,117-HB4457,End Double Taxation of Successful Consumer Claims Act
116-HB8421,117-HB6190,Wildfire Smoke Relief Act
116-HB558,117-HB439,Native American Millennium Challenge Demonstration Act
116-HB7962,117-HB2203,Metropolitan Planning Enhancement Act
116-HR755,117-HR32,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors."
116-HR13,117-HR32,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors."
116-HB1377,117-HB1585,Mark Takai Atomic Veterans Healthcare Parity Act
116-HB7457,117-HB3042,Motor Carrier Safety Selection Standard Act
116-HB1684,117-HB4857,Journalist Protection Act
116-HB85,117-HB58,Fund and Complete the Border Wall Act
116-HB3523,117-HB2829,End Price Gouging for Medications Act
116-HB7736,117-HB1213,Educational Flexibility for Families Act
116-HB7848,117-HB4011,Counseling Not Criminalization in Schools Act
116-HB8799,117-HB3384,End Transfers of Detained Immigrants Act
116-HB1815,117-HB8462,SEC Disclosure Effectiveness Testing Act
116-HB2186,117-HB5084,Student Loan Refinancing Act
116-HB2048,117-HB3853,Pink Tax Repeal Act
116-HB8102,117-HB1497,To amend the Expedited Funds Availability Act to require funds deposited by check from the Federal Government to be made available immediately.
116-HB4490,117-HB194,"To require the Inspector General, Department of Justice, to submit a report to the Congress on the number of firearm transaction denials issued by the National Instant Criminal Background Check System that are referred to the Bureau of Alcohol, Tobacco, Firearms, and Explosives for investigation, the number of prosecutions resulting from such investigations, and the number of firearms recovered by the Bureau in cases in which such a denial was issued after the firearm was transferred."
116-HB717,117-HB3015,Raise the Age Act
