116th Bill Name,117th Bill Name,Short Title
116-HB7676,117-HB3029,Health Care PRICE Transparency Act Health Care Prices Revealed and Information to Consumers Explained Transparency Act
116-HB1802,117-HB845,VA Billing Accountability Act
116-HB3672,117-HB3069,ARC Act Access for Rural Communities Act
116-HB8578,117-HB624,Parris Island Protection Act
116-HB7425,117-HB547,DIRECT Act Direct Interstate Retail Exemption for Certain Transactions Act
116-HB488,117-HB517,Employee Bonus Protection Act
116-HR544,117-HR1305,Recognizing Islam as one of the great religions of the world.
116-HR1090,117-HR1305,Recognizing Islam as one of the great religions of the world.
116-HB883,117-HB2766,Families Belong Together Act
116-HB469,117-HB3415,"To require the use of replacement cost value in determining the premium rates for flood insurance coverage under the National Flood Insurance Act, and for other purposes."
116-HB5142,117-HB1327,Green Energy for Federal Buildings Act
116-HB8077,117-HB818,GIVE MILK Act Giving Increased Variety to Ensure Milk Into the Lives of Kids Act
116-HB2201,117-HB2269,"To modify the presumption of service connection for veterans who were exposed to herbicide agents while serving in the Armed Forces in Thailand during the Vietnam era, and for other purposes."
116-HB248,117-HB916,REDUCE Act Rebalance for an Effective Defense Uniformed and Civilian Employees Act
116-HB2200,117-HB2268,Keeping Our Promises Act
116-HB5712,117-HB8793,Nationwide Right to Unionize Act
116-HB2487,117-HB8687,Wounded Warrior Workforce Enhancement Act
116-HB6923,117-HB1900,Coronavirus Front-Line Responders Commemorative Coin Act
116-HB7132,117-HB3583,Never Again International Outbreak Prevention Act
116-HB4156,117-HB3976,America Stands with Israel Act
116-HB2346,117-HB3881,Support and Defend Our Military Personnel and Their Families Act
116-HB5942,117-HB117,DHS Cybersecurity On-the-Job Training and Employment Apprentice Program Act
116-HB1379,117-HB1916,Ensuring Lasting Smiles Act
116-HR1222,117-HR54,"Reaffirming the sense of the House of Representatives that the United States must lead the world in preventing further nuclear proliferation, while also reducing and eventually eliminating all nuclear weapons."
116-HR50,117-HR58,Memorializing the unborn by lowering the United States flag to half-staff on the 22d day of January each year.
116-HB4671,117-HB5040,Helping Seniors Afford Health Care Act
116-HB4972,117-HB3803,"For the relief of Ted Simonson and Reoforce, Inc."
