116th Bill Name,117th Bill Name,Matches,Short Title,Long Title
116-HR13,117-HR32,short,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",
116-HB2158,117-HB1102,short,Easy Access to Mail Act,
116-HB628,117-HB2800,short,WINGMAN Act Working to Integrate Networks Guaranteeing Member Access Now Act,
116-HB7962,117-HB2203,short,Metropolitan Planning Enhancement Act,
116-HB6023,117-HB4443,short,COMPOST Act Cultivating Organic Matter through the Promotion Of Sustainable Techniques Act,
116-HB882,117-HB7489,short,Time Off to Vote Act,
116-HB3632,117-HB3095,short,Fair and Open Skies Act,
116-HB4574,117-HB2371,short,Veterans’ Right to Breathe Act,
116-HB3743,117-HB6510,short,STOP Campus Hunger Act Supporting Transparency to Overcome Poverty and Campus Hunger Act,
116-HB6359,117-HB1641,short,Promoting Infrastructure by Protecting Our Subcontractors and Taxpayers Act,
116-HB2867,117-HB6370,long,,"To amend chapter 44 of title 18, United States Code, to require the safe storage of firearms, and for other purposes."
116-HB3108,117-HB9498,long,,"To amend the Higher Education Act of 1965 to provide for a teacher leader development program, and for other purposes."
116-HB2783,117-HB2064,long,,"To amend the Immigration and Nationality Act to provide for certain protections for aliens granted temporary protected status or deferred enforced departure, and for other purposes."
116-HJR11,117-HJR8,short,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.,
116-HB8383,117-HB2470,short,"To designate certain future interstates and high priority corridors in Kentucky, and for other purposes.",
116-HB5746,117-HB4422,short,To amend the Internal Revenue Code of 1986 to provide special rules for purposes of determining if financial guaranty insurance companies are qualifying insurance corporations under the passive foreign investment company rules.,
116-HB8405,117-HB1211,short,American Values and Security in International Athletics Act,
116-HB8703,117-HB967,short,Federal Skills Act,
116-HB1154,117-HB3225,short,Public Safety Employer-Employee Cooperation Act,
116-HB5061,117-HB1552,short,"To designate the facility of the United States Postal Service located at 42 Main Street in Slatersville, Rhode Island, as the ""Specialist Matthew R. Turcotte Post Office"".",
116-HB8942,117-HB7672,short,ASSIST Act Advancing Student Services In Schools Today Act,
116-HR746,117-HR382,short,"Expressing the sense of the House of Representatives that the United States should reaffirm its commitment as a member of the World Trade Organization (WTO) and work with other WTO members to achieve reforms at the WTO that improve the speed and predictability of dispute settlement, address longstanding concerns with the WTO's Appellate Body, increase transparency at the WTO, ensure that WTO members invoke special and differential treatment reserved for developing countries only in fair and appropriate circumstances, and update the WTO rules to address the needs of the United States and other free and open economies in the 21st century.",
116-HB8117,117-HB289,short,Support Peaceful Protest Act,
116-HB1307,117-HB2020,short,Post-Disaster Assistance Online Accountability Act,
116-HR373,117-HR1052,short,Supporting the goals and ideals of a National Move Over Law Day.,
116-HB4830,117-HB9285,short,Patient Navigation Assistance Act,
116-HB1587,117-HB3043,short,Marijuana Data Collection Act,
116-HR343,117-HR302,short,"Recognizing the commencement of Ramadan, the Muslim holy month of fasting and spiritual renewal, and commending Muslims in the United States and throughout the world for their faith.",
116-HR940,117-HR302,short,"Recognizing the commencement of Ramadan, the Muslim holy month of fasting and spiritual renewal, and commending Muslims in the United States and throughout the world for their faith.",
116-HB8695,117-HB1584,short & long,Protecting Retirement Savers and Everyday Investors Act,"To impose a limitation on taxation and fees on transactions by certain securities industry participants, and for other purposes."
116-HB3220,117-HB2896,short,Kids Eat Local Act,
116-HB3489,117-HB5654,long,,"To authorize the Secretary of Education to establish an Advisory Commission on Serving and Supporting Students with Mental Health Disabilities in Institutions of Higher Education, and for other purposes."
116-HB6540,117-HB3413,short,Agricultural Security Risk Review Act,
116-HB7032,117-HB1243,short,Skills Renewal Act,
116-HCR100,117-HCR19,short,"Urging the establishment of a United States Commission on Truth, Racial Healing, and Transformation.",
116-HB8364,117-HB360,short,VA Fiscal Responsibility Act,
116-HB7640,117-HB3940,short,Local Journalism Sustainability Act,
116-HB4823,117-HB744,short,FEMA Climate Change Preparedness Act,
116-HB587,117-HB310,short,"To posthumously award the Congressional Gold Medal, collectively, to Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith, in recognition of their contributions to the Nation.",
116-HB638,117-HB638,short,Cost Estimates Improvement Act,
116-HB621,117-HB605,short,Student Empowerment Act,
116-HB73,117-HB35,short,"To terminate the designation of the Islamic Republic of Pakistan as a major non-NATO ally, and for other purposes.",
116-HB4014,117-HB2202,long,,"To repeal the exemption for hydraulic fracturing in the Safe Drinking Water Act, and for other purposes."
116-HB8948,117-HB314,long,,"To authorize the Administrator of the Environmental Protection Agency to enter into cooperative agreements with States to carry out grant programs to assist in remediation and relocation efforts relating to hazardous air pollution, and for other purposes."
116-HB625,117-HB177,short,PROPEL Act Professional Pell Education Learning Act,
116-HB7680,117-HB1291,short,Reinforcing Utility Restoration After Losses (RURAL) Act,
116-HR149,117-HR417,short,Recognizing the national debt as a threat to national security.,
116-HB4395,117-HB7000,short,Clean Slate through Consolidation Act,
116-HCR7,117-HCR43,short,Expressing the sense of Congress that all direct and indirect subsidies that benefit the production or export of sugar by all major sugar-producing and -consuming countries should be eliminated.,
116-HB4139,117-HB268,short,"To provide for the boundary of the Palo Alto Battlefield National Historic Park to be adjusted, to authorize the donation of land to the United States for addition to that historic park, and for other purposes.",
116-HB1563,117-HB4415,short,Chester County Reversionary Interest Release Act,
116-HB1274,117-HB255,short,Repeal of the Authorization for Use of Military Force,
116-HB7537,117-HB7515,long,,To amend the Internal Revenue Code of 1986 to provide an exception from the passive loss rules for investments in specified medical research small business pass-thru entities.
116-HR1230,117-HR89,short,Expressing support for a national day of mourning in recognition of the lives lost as a result of COVID-19.,
116-HB5043,117-HB3805,short,Millionaires Surtax Act,
116-HB4737,117-HB3756,short,Department of Homeland Security Climate Change Research Act,
116-HB3339,117-HB2312,short,Mentoring and Supporting Families Act,
116-HB3699,117-HB3243,short,Pipeline Security Act,
116-HR867,117-HR102,short,Expressing the sense of the House of Representatives regarding the 6888th Central Postal Directory Battalion and celebrating Black History Month.,
116-HB8013,117-HB1927,long,,"To prohibit taxpayer-funded gender reassignment medical interventions, and for other purposes."
116-HB6127,117-HB4586,short,Risk-Based Credit Examination Act,
116-HB6149,117-HB1784,short,Medicaid REACH Act Medicaid Report on Expansion of Access to Coverage for Health Act,
116-HB5425,117-HB7728,short,Student Protection Act,
116-HB6103,117-HB4807,short,Safe Stay Act,
116-HR1066,117-HR552,short,Recognizing the importance of independent living for individuals with disabilities made possible by the Americans with Disabilities Act of 1990 and calling for further action to strengthen home and community living for individuals with disabilities.,
116-HB8896,117-HB874,short,AOC Act Abandoning Online Censorship Act,
116-HB8937,117-HB5397,short & long,National Civilian Medals Improvement Act,"To amend requirements for awarding the National Medal of Science, the National Medal of Arts, and the National Technology and Innovation Medal, and for other purposes."
116-HB6218,117-HB5067,short,Preserving Patient Access to Home Infusion Act,
116-HB8963,117-HB2452,long,,"To amend the Pittman-Robertson Wildlife Restoration Act and the Dingell-Johnson Sport Fish Restoration Act to treat the District of Columbia the same as a State for purposes of such Acts, and for other purposes."
116-HB7392,117-HB4339,short,Military PFAS Testing Disclosure Act,
116-HR828,117-HR295,short,Expressing the sense of the House of Representatives that the United States Trade Representative should promptly resume negotiations to conclude the Environmental Goods Agreement.,
116-HB2837,117-HB3153,short,Restoring the Armed Career Criminal Act,
116-HB8469,117-HB438,short,"To amend the Alyce Spotted Bear and Walter Soboleff Commission on Native Children Act to extend the deadline for a report by the Alyce Spotted Bear and Walter Soboleff Commission on Native Children, and for other purposes.",
116-HR1151,117-HR801,short,Recognizing violence against women in politics as a global phenomenon and supporting women's full and meaningful participation in political life.,
116-HB1878,117-HB5984,short,IDEA Full Funding Act,
116-HB3422,117-HB7461,long,,To amend the Higher Education Act of 1965 to clarify competency-based education.
116-HB8414,117-HB518,long,,To direct the Secretary of Labor to award grants to eligible entities to carry out or expand youth apprenticeship programs.
116-HB8077,117-HB818,short,GIVE MILK Act Giving Increased Variety to Ensure Milk Into the Lives of Kids Act,
116-HB2163,117-HB53,short,Freedom for Families Act,
116-HB396,117-HB6063,short,"To provide for the equitable settlement of certain Indian land disputes regarding land in Illinois, and for other purposes.",
116-HB5454,117-HB2889,short,Fairness for Landowners Facing Eminent Domain Act,
116-HB5712,117-HB8793,short,Nationwide Right to Unionize Act,
116-HB1152,117-HB3631,short,"To require the Administrator of the Environmental Protection Agency to revise certain ethylene oxide emissions standards under the Clean Air Act, and for other purposes.",
116-HB7935,117-HB2988,long,,"To amend title 5, United States Code, to modify and enhance protections for Federal Government whistleblowers, and for other purposes."
116-HB558,117-HB439,short,Native American Millennium Challenge Demonstration Act,
116-HB6598,117-HB1130,short,SOS ACT Act Secure Our Systems Against China’s Tactics Act,
116-HB8768,117-HB2923,long,,"To amend the Immigration and Nationality Act to include aliens passing in transit through the United States to board a vessel on which the alien will perform ship-to-ship liquid cargo transfer operations within a class of nonimmigrant aliens, and for other purposes."
116-HB6999,117-HB593,long,,"To establish the Coronavirus Mental Health and Addiction Assistance Network, and for other purposes."
116-HB4156,117-HB3976,short,America Stands with Israel Act,
116-HB5876,117-HB148,long,,To provide a work opportunity tax credit for military spouses and to provide for flexible spending arrangements for childcare services for military families.
116-HB3806,117-HB8704,short,Protecting Immigrant Gold Star and Military Families Act,
116-HB4513,117-HB3476,short,Air National Guard Air Refueling Wing Center of Excellence Act,
116-HB4546,117-HB235,short,Public Housing Emergency Response Act,
116-HB4107,117-HB6532,short,Funding Early Childhood is the Right IDEA Act,
116-HB8935,117-HB2309,long,,"To improve dam and hydropower safety, and for other purposes."
116-HR1184,117-HR220,short,Amending the Rules of the House of Representatives to require the Clerk to read the Congressional Budget Office cost estimate of any bill immediately after the reading of the title of the bill.,
116-HR419,117-HR364,short,"Acknowledging the contributions of America's addiction professionals and their commitment to delivering evidence-based practice to individuals with substance use disorders through recognized standards of education, training, and competencies.",
116-HB4935,117-HB5136,long,,"To prohibit chemical abortions performed without the presence of a healthcare provider, and for other purposes."
116-HB2074,117-HB2435,long,,"To amend the Federal Food, Drug, and Cosmetic Act to require the label of a drug that is intended for human use and contains an ingredient that is derived directly or indirectly from a gluten-containing grain to identify each such ingredient, and for other purposes."
116-HB3796,117-HB7435,short,Health Savings for Seniors Act,
116-HB7348,117-HB7289,short,Federal PFAS Research Evaluation Act,
116-HR530,117-HR56,short,Expressing the sense of the House of Representatives that the amount of the Members' Representational Allowance should be increased in response to increasing threats against Members of the House.,
116-HB3462,117-HB3925,short,SHELTER Act,
116-HB8714,117-HB1418,short,Family Friendly Schools Act,
116-HB7949,117-HB4867,long,,"To direct the chief information officer of each agency to increase efforts to manage data centers, and for other purposes."
116-HB1899,117-HB1918,short,Student Loan Refinancing and Recalculation Act,
116-HB5490,117-HB2065,short,"To amend section 1105(a) of title 31, United States Code, to require that annual budget submissions of the President to Congress provide an estimate of the cost per taxpayer of the deficit and of the public debt.",
116-HB8421,117-HB6190,short,Wildfire Smoke Relief Act,
116-HB7377,117-HB1525,short,DIGITAL Applications Act Deploying Infrastructure with Greater Internet Transactions And Legacy Applications Act,
116-HB791,117-HB5325,short,End Government Shutdowns Act,
116-HB797,117-HB5325,short,End Government Shutdowns Act,
116-HB1814,117-HB1219,short,ABLE Age Adjustment Act,
116-HB3099,117-HB4727,short & long,STEM K to Career Act,"To provide for loan forgiveness for STEM teachers, and for other purposes."
116-HB7171,117-HB4457,short,End Double Taxation of Successful Consumer Claims Act,
116-HB5747,117-HB1424,short,St. Croix National Heritage Area Act,
116-HB7784,117-HB2429,short & long,VA Police Improvement and Accountability Act,"To amend title 38, United States Code, to improve the staffing, transparency, and accountability of the law enforcement operations of the Department of Veterans Affairs, and for other purposes."
116-HCR13,117-HCR13,short,"Recognizing the difficult challenges Black veterans faced when returning home after serving in the Armed Forces, their heroic military sacrifices, and their patriotism in fighting for equal rights and for the dignity of a people and a Nation.",
116-HB8023,117-HB1175,short,Smithsonian and National Gallery of Art Collections Space Authorization Act,
116-HB8590,117-HB1175,short,Smithsonian and National Gallery of Art Collections Space Authorization Act,
116-HR840,117-HR167,short,"Expressing support for the designation of the last day of February each year as ""Rare Disease Day"".",
116-HR161,117-HR167,short,"Expressing support for the designation of the last day of February each year as ""Rare Disease Day"".",
116-HB3435,117-HB4888,short,Local Public Health And Safety Protection Act,
116-HB4081,117-HB127,short & long,Sabika Sheikh Firearm Licensing and Registration Act,"To provide for the licensing of firearm and ammunition possession and the registration of firearms, and to prohibit the possession of certain ammunition."
116-HB8097,117-HB4377,short,Volunteer First Responder Housing Act,
116-HB5618,117-HB9014,short,Promoting National Service and Reducing Unemployment Act,
